Course,TargetId,TargetName,ObjectiveName,Description
Integrated Science,27871da36e7,TE,TE1,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed."
Integrated Science,27871da36e7,TE,TE2,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer."
Integrated Science,27871da36e7,TE,TE3,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass and the change in the average kinetic energy of the particles as measured by the temperature of the sample."
Integrated Science,27871da36e7,TE,TE4,"Construct, use, and present arguments to support the claim that when the motion energy of an object changes, energy is transferred to or from the object."
Integrated Science,27871da36e7,TE,TE5,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials"
Integrated Science,27871da36e7,TE,TE6,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed."
Integrated Science,718dff85cd5,WC,WC1,Develop a model to describe the cycling of water through Earth’s systems driven by energy from the sun and the force of gravity.
Integrated Science,718dff85cd6,WC,WC2,Collect data to provide evidence for how the motions and complex interactions of air masses results in changes in weather conditions.
Integrated Science,718dff85cd7,WC,WC3,The Roles of Water in Earth’s Surface Processes
Integrated Science,718dff85cd8,WC,WC4,"Weather and climate are influenced by interactions involving sunlight, the ocean, the atmosphere, ice, landforms."
Integrated Science,718dff85cd9,WC,WC5,"The ocean exerts a major influence on weather and climate by absorbing energy from the sun, releasing it over time, and globally redistributing it through ocean currents."
Integrated Science,8ed63da3ff3,SH,SH1,Work effectively in teams and groups to achieve a common goal
Integrated Science,8ed63da3ff4,SH,SH2,Take organized notes that are easy to understand and follow.
Integrated Science,8ed63da3ff5,SH,SH3,Use evidence to support a claim about the natural world.
Integrated Science,8ed63da3ff6,SH,SH4,Use data from an investigation as evidence to support a claim.
Integrated Science,8ed63da3ff7,SH,SH5,I can create and/or use a model to represent something real
